payment_id,order_id,card_type,customer_id,paid_amount,bank_transaction,payment_at
"f2eb33b2-a8f3-4824-93bc-762f138fe521","c250cca2-e4f3-4b20-8712-fbf082a33cc4","visa","7","929407.27","A withdrawal of TZS 398.08 occurred at العلاني - الحمامي using a card ending in ****9457 for account ***2396.","2025-05-24T13:17:18.393Z"
"f173d4b7-ccbe-4d0a-9f08-c73f87dbf825","8c772fc7-1b14-4164-ae20-823b1a09db65","visa","9","495283.88","payment processed at هذيل, بن حسين and تومي for UZS 56.14, using card ending ****5892. Account: ***5480.","2025-05-24T05:45:59.407Z"
"ba378ad9-7cd7-40a9-9d6d-93053effe7bb","b51972c2-e6e5-41a7-b18d-057e61665243","mastercard","18","71424.93","payment of NZD 112.99 at بن عبد الكريم, ادريس and العطار charged to account ending in 7806 using card ending in ****4712.","2025-05-24T19:39:44.630Z"
"e963341d-47cf-41d9-8cec-79264dc5481d","2dcebfe7-c2d2-4273-8df7-44a82fdc9f2e","visa","2","122544.2","You made a deposit of PHP 820.42 at بن عبدالله, هذيل and القلشاني using card ending in ****5017 from account ***3618.","2025-05-23T22:51:37.086Z"
"521e000b-4568-4653-8bee-07a4ac0b48d2","6f63e6b2-ef47-4395-8597-d836d912edfc","amex","18","428149.35","Your payment of BMD 874.32 at سعيد Inc was successful. Charged via card ****0196 to account ***4868.","2025-05-24T00:15:24.163Z"
"23695850-217d-492f-a769-ae136f1e03c9","4aa2319c-5449-4e8c-91f5-06b7ae474ae0","visa","15","119860.09","invoice confirmed at العنابي - لخشين for LBP 471.52, card ending in ****0101 associated with account ***3477.","2025-05-24T05:07:00.675Z"
"1003b762-f421-4cf7-9472-471eb815328e","cba6ad21-49e4-448d-95a8-181c404534c0","amex","7","994419.08","withdrawal processed at الزوابي, الطويل and شقرون for SGD 21.51, using card ending ****2445. Account: ***2881.","2025-05-24T07:29:55.295Z"
"62ac7616-777b-4fa7-84b7-f8efca90c207","a2db1c53-5d08-49a4-b7a6-3ca59102ed7f","visa","18","547000.54","Transaction alert: payment at شنيق - بن عبد الكريم using card ending ****6642 for an amount of THB 714.55 on account ***1565.","2025-05-24T14:57:35.075Z"
"40fadbc4-0e24-4225-9114-66edfde823eb","28e96a78-4ffb-4ac9-a0bd-5aa5771c6e23","mastercard","9","379207.67","A withdrawal for LYD 507.31 was made at بوهاها - جابالله via card ending ****6204 on account ***6710.","2025-05-24T12:32:47.329Z"
"51d8f1d7-21a8-4a20-a94d-fff594dcca48","a785e961-dd98-4fc8-8588-ba426a191a17","mastercard","1","341073.47","deposit processed at المحجوب and Sons for VND 487.37, using card ending ****7371. Account: ***3300.","2025-05-24T14:56:29.675Z"
"2e8caee7-d61f-428b-a1cc-823cbfd12c6b","d6c552f9-a0e9-4f05-ab67-b965eab3140f","amex","18","514560.73","deposit transaction at خنفير - الشيباني using card ending with ****6505 for LAK 522.89 in account ***9010.","2025-05-24T05:38:13.961Z"
"a28a45bb-b9c0-40d4-82dc-b36fd47de8fd","6a599eb9-c95c-4408-824a-d9c898afba96","visa","15","971455.75","deposit confirmed at الخليفي, بودوارة and الكراي for BOB 7.36, card ending in ****7434 associated with account ***8904.","2025-05-24T13:39:36.821Z"
"b50011cd-7898-4e15-a8b8-9c89527e24d4","9d9b24ca-d096-415c-9275-0b2e28ac62e9","amex","6","646975.65","A invoice for MXN 572.25 was made at المحجوب Inc via card ending ****7534 on account ***4092.","2025-05-24T03:29:53.722Z"
"5d9d875d-ebbe-4be8-a7db-0a69a7ba385a","6e3a71a6-61af-48da-9574-10a6539c8b3a","mastercard","16","722514.06","A payment of KWD 402.85 occurred at العواني and Sons using a card ending in ****7097 for account ***2713.","2025-05-24T05:25:24.681Z"
"f1f71f2e-196f-43c6-9e3c-1a2426d9e295","93444c0d-7f76-4e61-8fd2-e87bf2720174","mastercard","17","854944.06","deposit at الكراي - الكافي with a card ending in ****7978 for PLN 828.07 from account ***5070.","2025-05-24T01:50:50.908Z"
"fa4485ae-1712-4f2f-9d43-0997f5492d06","75795045-12ba-4751-afd8-fe2af0bfb20b","mastercard","17","534277.76","invoice confirmed at الحمامي - الع لويني for EGP 34.29, card ending in ****6946 associated with account ***7609.","2025-05-24T13:06:19.413Z"
"1bc84ad3-21e0-43e2-bcef-4a529a27a37f","54fa331a-db3f-482d-a66b-e26a3c153932","amex","7","618035.5","A withdrawal of ZMW 215.91 occurred at الحمامي - تومي using a card ending in ****1128 for account ***9018.","2025-05-24T18:44:12.808Z"
"2dc62425-81ab-4344-b4a8-4f3e00ff06dc","b9be56ff-3f37-481b-8d92-9d6ba3965674","visa","6","60872.39","Your withdrawal of RWF 883.82 at المدقي Group was successful. Charged via card ****3351 to account ***3711.","2025-05-24T11:45:57.794Z"
"954af06b-15c8-42ab-862c-1e14fa1b80a7","96830f51-beb2-4a43-8d20-d75d83c47c93","visa","19","911277.37","payment of MYR 197.46 at الرصاع - السقا charged to account ending in 2347 using card ending in ****6131.","2025-05-24T01:03:38.775Z"
"11987589-f975-425d-b9e0-6d13c9d2c710","b0972fb3-b3a3-4579-aa46-e5a5ff8ec836","mastercard","3","226856.12","Your invoice of NOK 598.37 at الصغير - الأشراف was successful. Charged via card ****0071 to account ***2525.","2025-05-24T08:43:59.518Z"
"014bc92e-ac2f-4c2d-8b89-5bde90705fc8","2d7c87e5-2ebf-4944-9b1c-370010839fda","amex","2","698125.2","Payment of RSD 581.42 for invoice at الحمامي, غويلة and الخليفي, processed with card ending ****3990 linked to account ***0286.","2025-05-24T07:00:31.353Z"
"4c8ae2a2-fffd-4858-b269-2ddfb193581c","a699fbd3-566f-4d95-aee3-538597bbe15e","mastercard","11","471979.44","invoice of LSL 632.34 at الحمامي - القلشاني charged to account ending in 0256 using card ending in ****9086.","2025-05-24T10:41:54.331Z"
"c43db400-3689-49d3-83de-bb27bc8c6257","fb969861-e5fb-45d3-9668-dc9bf194eea5","amex","20","318177.74","You made a invoice of AMD 613.08 at الدنوني and Sons using card ending in ****2273 from account ***5773.","2025-05-24T17:47:55.307Z"
"043a72ed-e343-4383-b6bb-5b1f2d4c5e20","d7af216b-8c89-4e39-86a5-02a40fc9ddeb","mastercard","6","171973.58","invoice processed at الدنوني, القلشاني and العنابي for CVE 971.34, using card ending ****4203. Account: ***7079.","2025-05-24T07:32:52.390Z"
"5550df16-5e28-4002-8b93-b78a2fa24a1e","6219c07a-f902-472f-91c4-b3497e94d7a5","amex","17","17581.35","deposit confirmed at بن حسين - نيفر for AFN 949.18, card ending in ****5241 associated with account ***9910.","2025-05-24T05:30:46.734Z"
"28743742-22a4-4c00-b41b-ce027cd2c160","d1c99cea-8953-4477-9389-dda825cdc975","visa","9","300864.23","Your invoice of MVR 990.71 at بن عمر and Sons was successful. Charged via card ****4728 to account ***3226.","2025-05-24T08:24:23.294Z"
"3115186f-ddaa-4fdb-8cf0-67b90489d1ca","05c16449-d3ce-40cb-986c-30282d8bd3de","visa","3","193989.2","payment at الرصاع - الشيباني with a card ending in ****7314 for QAR 952.45 from account ***2169.","2025-05-24T01:50:20.630Z"
"70f88205-e2c7-40a4-b4a3-4fac53eecdf4","5c32f331-709f-4ae9-a558-9a60b23c772a","visa","14","445818.92","payment confirmed at المنيف - هذيل for ALL 77.34, card ending in ****5539 associated with account ***4274.","2025-05-24T10:07:51.555Z"
"660e6323-64cf-477b-a0d8-6f3c371a1e57","1f1662b2-2fa6-4482-b5eb-d7b3dc06a94b","amex","10","411945.95","A withdrawal of LSL 405.84 occurred at الصغير Inc using a card ending in ****5784 for account ***7745.","2025-05-24T20:09:15.347Z"
"9d5d8da9-df55-4f29-8ca1-fc87ee3da567","914b14f3-bb12-4dad-ade5-115ef6a660c7","amex","14","329542.16","deposit transaction at تومي Inc using card ending with ****2249 for ISK 206.41 in account ***0734.","2025-05-23T23:12:44.387Z"
"94706724-26dd-4e63-88dd-63e5548c244b","00cc8aa8-2c71-4ab9-9a8a-3bc5650e2941","amex","3","53090.49","withdrawal processed at شقرون - المدقي for NOK 94.67, using card ending ****0153. Account: ***1769.","2025-05-24T02:41:40.036Z"
"0bfef187-1c7d-4fe6-abb5-caecdb645965","5bd0e870-e38b-43c0-8d82-b4efb06b7784","visa","19","508048.14","A payment for ALL 33.03 was made at النفطي Inc via card ending ****1090 on account ***1398.","2025-05-24T03:17:57.193Z"
"eb96a198-7bcb-43e0-a0d8-78b8b7724f9f","c079b8be-d8cd-411b-b95b-49f55f83fa6a","visa","11","651968.98","You made a invoice of MDL 652.67 at الزوابي Group using card ending in ****6126 from account ***2748.","2025-05-23T22:39:35.836Z"
"c85c70dc-91a0-4992-aca4-108f52a7cb8c","9955902b-1e1c-4c8d-b53b-3c1978e2b5f2","mastercard","13","294846.07","Your deposit of CNY 4.41 at همدان Inc was successful. Charged via card ****0155 to account ***9639.","2025-05-24T09:58:41.732Z"
"dc4dccd8-0207-4c94-8edb-2b7a2b9c230b","233bdf8b-1b24-4d0d-ada8-b5852f597da2","mastercard","14","400788.46","invoice at لخشين, القلشاني and الطويل with a card ending in ****9905 for NIO 996.44 from account ***7868.","2025-05-24T03:26:30.645Z"
"171cdaca-8556-47a7-8053-abb4a7de95e7","c4d94b9e-ecb2-4223-a01b-a3bea299e0c7","visa","19","249435.24","deposit of IDR 421.16 at لخشين LLC charged to account ending in 5273 using card ending in ****8152.","2025-05-24T19:57:45.635Z"
"60905df6-3411-4c8f-8e97-88fe835cd2c4","4d137159-81c3-4c27-ac9f-0552c9e55a5a","mastercard","8","292032.85","invoice confirmed at العلايمي Inc for XAF 998.30, card ending in ****0279 associated with account ***3038.","2025-05-23T22:07:24.419Z"
"4b7b6131-e2f1-412a-bc04-32e34ba57470","75f4c451-2887-4dbd-8064-65035b9d9f30","amex","5","603621.57","invoice transaction at بوهاها - المولدي using card ending with ****5109 for RSD 728.56 in account ***8200.","2025-05-24T02:44:57.028Z"
"f56fc2d1-2749-4223-a3c9-ee52e74bc9f9","b25d27be-c9c5-4092-a34a-2464529face0","amex","20","594131.98","Transaction alert: payment at بن عاشور and Sons using card ending ****2832 for an amount of KHR 911.11 on account ***4906.","2025-05-24T07:15:08.666Z"
"130deec9-0026-4774-b497-4004fbe401da","c18f149b-196b-4d3e-a6c6-b75bac5e7a3a","amex","3","120369.32","A invoice of XAF 181.10 occurred at القلشاني - القلشاني using a card ending in ****2534 for account ***4177.","2025-05-24T05:50:11.596Z"
"a08450ce-8330-4f3a-88ba-eedc8442604f","1be2325b-084e-4039-92da-c2fd8cba7c91","visa","15","371764.8","invoice processed at الرصاع - الخليفي for CHF 130.23, using card ending ****5425. Account: ***9323.","2025-05-24T18:49:45.166Z"
"88f0086d-6b35-44e1-942d-a8aea4e7c077","17601105-2c09-402b-b403-defdb7783d21","amex","6","430945.13","A deposit for CHF 737.49 was made at الأشراف, البشيري and بن عبد الكريم via card ending ****9202 on account ***7106.","2025-05-24T14:26:11.622Z"
"c3709bdc-6864-4ae8-a228-4a7b1dd5aa52","bd97e409-e848-4031-b779-fdce0ce4c24b","mastercard","11","716446","Payment of JPY 979.26 for payment at البشيري - جراد, processed with card ending ****5683 linked to account ***9469.","2025-05-24T00:02:32.512Z"
"8ce6b1a9-39b5-45f2-9474-807157d02e3b","de5bfcbc-02c4-4423-b916-e691c04dc08c","mastercard","1","126430.32","You made a invoice of PGK 628.52 at عاشور - الدرقاش using card ending in ****4523 from account ***1053.","2025-05-24T19:42:59.312Z"
