create_at,order_id,customer_id,store_internal_id,product_name_en,product_name_ar,internal_store_id,product_internal_id,product_id,size_name_en,size_name_ar,price,full_price,coupon_code
"2025-05-24T01:09:56.961Z;1","","16","7","Pappardelle Alla Bolognese","اروي العلايمي","7221","4533","d40ac209-849a-473c-af9b-1727299800e3","medium,large,veryLarge,verysmall","medium,large,veryLarge,verysmall","161318","193581.6","LzNvZRMtZQum"
"2025-05-24T08:38:04.747Z;2","","8","7","Clams-infused Emu","بن عاشور وصفي","1685","3819","ca4c2f9a-a036-416b-892f-47858d075409","medium,large,veryLarge,verysmall","medium,large,veryLarge,verysmall","735125","882150","pMSmiTd"
"2025-05-23T22:27:23.362Z;3","","8","21","Ebiten Maki","عنود بن عبدالله","3936","2169","a518f5a7-a8e6-4766-a14f-ae83fecdac61","small","small","170065","204078","pvffpatCwLZe"
"2025-05-24T13:12:16.203Z;4","","4","18","Curly Leaf Parsley-crusted Duck","الدنوني سامح","4022","3014","5e2f1479-d802-4383-9fe5-1d8c2ec799a9","medium,large,veryLarge,verysmall","small","401436","481723.19999999995","pMSmiTd"
"2025-05-24T06:25:34.170Z;5","","10","1","Poutine","بلال العنابي","8338","8058","955c1a5a-f1e9-44e6-8e8c-9c27a2c6b990","medium,large,veryLarge,verysmall","small","750561","900673.2","pvffpatCwLZe"
"2025-05-24T19:01:07.423Z;6","","17","20","Risotto With Seafood","بتول شقرون","199","6590","099265ab-2891-48f8-b2d3-040c4501c8ef","small","medium,large,veryLarge,verysmall","496922","596306.4","oJiJmUDCJBt"
"2025-05-23T23:53:15.656Z;7","","1","23","French Toast","آنسة عنود تومي","2494","7444","7dee1241-e92b-4bb0-895f-9e994e9f2c71","small","medium,large,veryLarge,verysmall","39923","47907.6","iANkXIATuBzEog"
"2025-05-24T04:18:05.119Z;8","","3","1","Tiramisù","نوف الأشراف","7602","6464","21b8a675-7109-4833-a54e-70542dccc03e","medium,large,veryLarge,verysmall","small","119853","143823.6","LzNvZRMtZQum"
"2025-05-24T08:57:58.533Z;9","","3","18","Zanzibari Snowpea Sprouts Soup","بن عاشور نضال","9485","7577","17728755-95dd-4d36-9686-da15d61e384f","small","medium,large,veryLarge,verysmall","92787","111344.4","BQBprcet"
"2025-05-24T14:39:09.877Z;10","","18","10","Lasagne","نهاد الكراي","5998","7463","c89fb4f0-44c5-44db-84dd-990400e3c585","medium,large,veryLarge,verysmall","small","229303","275163.6","pvffpatCwLZe"
