category_id,internal_id,category_name_ar,category_name_en,category_image
"qqjjpe9odwkjfx4z82bpt08j","1","أطفال","صحة","/images/test/public/logo.jpg"
"ahadmbaa8f3rhu9tupf8cebl","2","صناعة","أدوات","/images/test/public/logo.jpg"
"bo3s0ijwlmh5a4re9b3q0bvl","3","السيارات","حواسيب","/images/test/public/logo.jpg"
"vty7f3ebko0drbz0lzc97lll","4","أغراض رياضية","ألعاب","/images/test/public/logo.jpg"
"awx3wzeirtt48u19rvpwlq6n","5","أغراض رياضية","كتب","/images/test/public/logo.jpg"
"c1koshnh2v3n0ekwkwdre3k1","6","أطفال","أحذية","/images/test/public/logo.jpg"
"qh4t4bbg0wnvm7m1o38o1ixi","7","صناعة","حديقة","/images/test/public/logo.jpg"
"yyh9vym3exe1etvqhicebs05","8","حواسيب","صناعة","/images/test/public/logo.jpg"
"qvnl0r4k4d9tpw34w081i9ut","9","كتب","بقالة","/images/test/public/logo.jpg"
"fnzq4m1w0pem4aribjaaf6uw","10","أحذية","ملابس","/images/test/public/logo.jpg"
"prql5u86tpbi6zn45gn83z55","11","بيت","أغراض رياضية","/images/test/public/logo.jpg"
"co58vz9eco4pdka2dpf89kl6","12","ألعاب","أغراض رياضية","/images/test/public/logo.jpg"
"v4ap428yxzq9eblsltce7t0k","13","أغراض رياضية","أغراض رياضية","/images/test/public/logo.jpg"
"e8icvotp81155qpgto6iixoi","14","أغراض رياضية","إلكترونيات","/images/test/public/logo.jpg"
"l8n2uxkvel0eqvieeeqnxa7g","15","بقالة","صحة","/images/test/public/logo.jpg"
"w22crmd085vhwv33a3gxtpc3","16","أحذية","أطفال","/images/test/public/logo.jpg"
"ymgcv9eek38zidj65mocxmjy","17","حديقة","بقالة","/images/test/public/logo.jpg"
"sq6fhpvfczx8dil92c0mhkx4","18","بقالة","حواسيب","/images/test/public/logo.jpg"
"bum669wlszbljxqsq21dx5u6","19","حواسيب","بيت","/images/test/public/logo.jpg"
"x18gge5qqh6bos6bzbc4q7c2","20","ألعاب","في الهواء الطلق","/images/test/public/logo.jpg"
"javngsenwed4rfsk317y8vp7","21","أطفال","إلكترونيات","/images/test/public/logo.jpg"
"cyqctgc8vvsw6yzznw444l9v","22","السيارات","بيت","/images/test/public/logo.jpg"
"hy7ynu6bj7b7vk0gk8zpo1hv","23","صحة","كتب","/images/test/public/logo.jpg"
"qop6q7qpx2j0lpxag2v29lgy","24","أطفال","بيت","/images/test/public/logo.jpg"
"wxbvq4vm3sz6w0cayg3smuo6","25","كتب","صناعة","/images/test/public/logo.jpg"
"mo5owc8fb1cbbs353xw1quq7","26","صناعة","السيارات","/images/test/public/logo.jpg"
"xr8r8n3l7cz27htih50t2iaf","27","أدوات","رضع","/images/test/public/logo.jpg"
"o0p4khd0ofmrwjgxmmlqrpd6","28","السيارات","بقالة","/images/test/public/logo.jpg"
"h43yof1fqajbqu6ax9pmj273","29","أدوات","كتب","/images/test/public/logo.jpg"
"ht8k7vvl4450m74g5xx5tb34","30","أطفال","جمال","/images/test/public/logo.jpg"
"nib99z0lnrh0qw6s98chppkr","31","جمال","ألعاب","/images/test/public/logo.jpg"
"ckk80fgqnj9nmdmf8rv7p58l","32","ملابس","أغراض رياضية","/images/test/public/logo.jpg"
