store_internal_id,rating_previous_day,number_of_raters,last_updated_at
"1","5","20","2025-05-24T09:36:34.828Z"
"2","5","20","2025-05-24T19:22:00.298Z"
"3","5","20","2025-05-24T18:28:23.754Z"
"4","5","20","2025-05-24T07:26:52.392Z"
"5","5","20","2025-05-24T18:51:24.471Z"
"6","5","20","2025-05-24T06:51:31.925Z"
"7","5","20","2025-05-24T00:05:30.774Z"
"8","5","20","2025-05-24T02:10:48.497Z"
"9","5","20","2025-05-24T02:02:18.317Z"
"10","5","20","2025-05-23T21:59:07.569Z"
"11","5","20","2025-05-24T13:20:47.424Z"
"12","5","20","2025-05-24T12:21:46.708Z"
"13","5","20","2025-05-24T01:36:15.516Z"
"14","5","20","2025-05-24T15:33:11.320Z"
"15","5","20","2025-05-24T01:19:12.475Z"
"16","5","20","2025-05-24T10:42:56.199Z"
"17","5","20","2025-05-24T04:57:45.195Z"
"18","5","20","2025-05-23T23:11:39.122Z"
"19","5","20","2025-05-23T21:33:24.056Z"
"20","5","20","2025-05-24T02:27:44.981Z"
"21","5","20","2025-05-24T19:00:44.649Z"
"22","5","20","2025-05-23T22:48:09.839Z"
"23","5","20","2025-05-24T18:18:23.813Z"
"24","5","20","2025-05-24T03:24:14.838Z"
"25","5","20","2025-05-24T07:29:59.123Z"
"26","5","20","2025-05-24T16:23:54.682Z"
"27","5","20","2025-05-23T23:53:20.231Z"
"28","5","20","2025-05-23T22:19:10.103Z"
"29","5","20","2025-05-24T03:56:31.288Z"
"30","5","20","2025-05-24T14:06:24.206Z"
"31","5","20","2025-05-24T07:28:19.461Z"
"32","5","20","2025-05-24T18:49:21.152Z"
"33","5","20","2025-05-24T14:19:46.359Z"
"34","5","20","2025-05-24T06:15:11.996Z"
"35","5","20","2025-05-23T23:06:30.015Z"
"36","5","20","2025-05-24T03:46:25.438Z"
"37","5","20","2025-05-24T16:12:57.781Z"
"38","5","20","2025-05-24T07:48:51.832Z"
"39","5","20","2025-05-24T06:12:44.992Z"
"40","5","20","2025-05-24T16:08:48.750Z"
"41","5","20","2025-05-24T08:26:13.805Z"
"42","5","20","2025-05-24T14:37:46.547Z"
"43","5","20","2025-05-24T01:25:50.849Z"
"44","5","20","2025-05-24T17:02:47.320Z"
"45","5","20","2025-05-24T13:45:06.444Z"
"46","5","20","2025-05-24T05:47:44.729Z"
"47","5","20","2025-05-24T11:53:26.728Z"
"48","5","20","2025-05-24T15:05:59.786Z"
"49","5","20","2025-05-24T15:29:50.279Z"
"50","5","20","2025-05-23T22:33:42.356Z"
"51","5","20","2025-05-24T03:36:49.475Z"
"52","5","20","2025-05-24T13:37:51.038Z"
"53","5","20","2025-05-24T09:09:47.268Z"
"54","5","20","2025-05-24T18:51:26.381Z"
"55","5","20","2025-05-24T05:03:28.826Z"
"56","5","20","2025-05-24T06:07:44.710Z"
"57","5","20","2025-05-24T10:53:36.992Z"
"58","5","20","2025-05-24T00:16:36.057Z"
"59","5","20","2025-05-24T13:15:59.557Z"
"60","5","20","2025-05-24T20:51:33.183Z"
"61","5","20","2025-05-24T03:56:35.786Z"
"62","5","20","2025-05-24T03:15:16.681Z"
"63","5","20","2025-05-24T18:59:26.191Z"
"64","5","20","2025-05-24T04:31:32.587Z"
"65","5","20","2025-05-24T14:21:43.248Z"
"66","5","20","2025-05-24T07:48:27.807Z"
"67","5","20","2025-05-24T19:54:11.425Z"
"68","5","20","2025-05-24T13:46:00.196Z"
"69","5","20","2025-05-24T19:27:00.795Z"
"70","5","20","2025-05-24T17:10:06.461Z"
"71","5","20","2025-05-24T14:54:27.005Z"
"72","5","20","2025-05-24T18:53:16.735Z"
"73","5","20","2025-05-24T04:10:28.177Z"
"74","5","20","2025-05-24T19:34:11.127Z"
"75","5","20","2025-05-23T23:48:31.850Z"
"76","5","20","2025-05-24T07:23:33.798Z"
"77","5","20","2025-05-24T00:22:40.509Z"
"78","5","20","2025-05-24T17:39:40.718Z"
"79","5","20","2025-05-24T04:19:03.616Z"
"80","5","20","2025-05-24T17:23:21.014Z"
"81","5","20","2025-05-24T04:26:06.125Z"
"82","5","20","2025-05-24T11:20:05.689Z"
"83","5","20","2025-05-23T23:41:36.704Z"
"84","5","20","2025-05-24T16:59:54.563Z"
"85","5","20","2025-05-24T04:25:54.223Z"
"86","5","20","2025-05-24T07:53:09.754Z"
"87","5","20","2025-05-24T02:55:29.339Z"
"88","5","20","2025-05-23T22:51:55.351Z"
"89","5","20","2025-05-23T23:14:42.696Z"
"90","5","20","2025-05-24T12:21:05.471Z"
"91","5","20","2025-05-24T09:52:56.612Z"
"92","5","20","2025-05-24T03:45:45.285Z"
