transaction_id,partner_id,store_id,internal_store_id,transaction_type,amount,amount_platform_commission,transaction_date,notes
"1","5","e79dad18-7053-4029-ad43-ceba8d4a9419","21","withdraw","856709.41","85670.941","2025-05-24T18:02:19.317Z","نكون الفائز عصا."
"2","5","9f5b1153-9b72-4851-a5db-0aa330aace10","23","withdraw","448556.54","44855.653999999995","2025-05-25T04:24:47.128Z","تبعًا انهم اخترت رسمي هذا صحة ماذا تحمل تكون."
"3","2","7966c1d2-1f34-4f47-a326-4adc2a5a7858","7","discount","587746.92","58774.692","2025-05-25T05:39:01.033Z","أحد الفراء متطابقة ايام يظهر نشط."
"4","1","5dd9e66d-26f0-4796-9973-acc3b3fcd011","10","withdraw","940552.44","94055.24399999999","2025-05-25T07:01:40.674Z","حامض إذا أستسلم انزعها."
"5","2","7675b0c4-1132-416e-8ea6-c894206b7a01","14","deposit","732634.46","73263.446","2025-05-25T01:30:20.166Z","إلى المجلد هي اسمنت مُطبَّق الأساسي العزلة سماء."
"6","4","1f960ee3-1b01-488c-afc9-cade5d4c0379","12","deposit","512151.43","51215.143","2025-05-24T14:15:37.214Z","دخول آكل مدح."
"7","1","95e884b2-4582-420d-b6d2-ed74ebd05795","2","deposit","699289.39","69928.939","2025-05-24T19:55:40.652Z","هم آخر حقًا المسالك عتيق الذات مادة صنعت حضري خيره."
"8","3","6e50dfc4-e43d-4ce6-aeb9-006580ae7822","6","discount","240400.05","24040.004999999997","2025-05-24T19:08:57.488Z","العليا الغرفة إمضاء قليل مبروك فريق يقولون ملاك أوافق متأثر."
"9","4","afa5b6ac-4751-4600-a3d2-4e21ba1e7a9b","18","discount","715293.14","71529.314","2025-05-24T14:05:04.995Z","سهل اختراعات أقسم استطيع وقت يعيق طريق."
"10","4","26295b8e-2e90-4aa5-999a-03e7f2d985a0","4","withdraw","959705.92","95970.592","2025-05-25T10:12:08.934Z","اجل مراعاة باهظ."
"11","1","116bc101-8874-4402-b641-afc5e583bb9b","16","discount","909126.96","90912.696","2025-05-24T15:19:09.701Z","غائب مظلمة اصرخ فضيلة انزعها الوادي الكبرى رفض سبورة النفخ."
"12","1","04c138b8-7346-43f4-8abf-316c30403bd9","19","withdraw","484583.87","48458.387","2025-05-24T19:04:24.206Z","يعبر منجلي سلم أساس جَذّاب رابطة يفصل نفع."
"13","3","27c01421-7170-469c-853f-e48d75fa83fa","25","discount","30949.61","3094.9610000000002","2025-05-25T09:52:22.470Z","ينضم سلب اضفت."
"14","1","04c138b8-7346-43f4-8abf-316c30403bd9","19","deposit","296399.3","29639.93","2025-05-25T01:57:27.917Z","أغنية والنسيج ايام عصا فزت."
"15","6","696508f2-d11d-450b-95ff-d854584f943e","3","discount","522373.12","52237.312","2025-05-25T12:55:13.742Z","تحميل يهمني الجسم طبقة مراعاة أميل مصلح اصرخ مخترع ذهب."
"16","2","fdae4289-0f1f-41b2-aa95-5e4b77ff6c11","9","withdraw","780377.2","78037.72","2025-05-24T14:34:43.195Z","المرونة صده أقول."
"17","3","5b9dac8f-56ad-443c-9d0c-0869587c4ff3","13","discount","549652.56","54965.25600000001","2025-05-24T19:37:56.473Z","جمال أغطي الوادي."
"18","1","1652ade0-afb3-4784-8c1a-edfea643d995","26","discount","786319.75","78631.975","2025-05-25T00:20:48.138Z","نتيجة سبورة بالفعل زال مختفي أو يحب ينضم جمهور كريم."
"19","2","fdae4289-0f1f-41b2-aa95-5e4b77ff6c11","9","deposit","177244.8","17724.48","2025-05-25T08:02:43.921Z","بالاسفل ماهر باقية ثالاسانوس أدعم أظن انزعها القيء ابرم أدعم."
"20","6","696508f2-d11d-450b-95ff-d854584f943e","3","deposit","497320.13","49732.013","2025-05-24T22:45:05.613Z","المختارون تأكيد أجبر ادافع السماوي يفضل ملاك."
"21","5","42b09504-3c4e-4b20-96bc-c16a0c421f12","15","deposit","275037.62","27503.762","2025-05-24T23:50:21.226Z","أسمع هم أجوف يغني سلام عزيزي مصطنع المحسنات."
