tag_id,tag_name_ar,tag_name_en,category_id
"1","مجوهرات","Indonesian","[object Object]"
"2","أغراض رياضية","Nepalese","[object Object]"
"3","بيت","Persian","[object Object]"
"4","إلكترونيات","Assyrian","[object Object]"
"5","مجوهرات","Karnataka","[object Object]"
"6","في الهواء الطلق","Slovenian","[object Object]"
"7","السيارات","Mordovian","[object Object]"
"8","بقالة","Italian","[object Object]"
"9","ملابس","South Indian","[object Object]"
"10","السيارات","Ethiopian","[object Object]"
"11","السيارات","Sindhi","[object Object]"
"12","صناعة","Sri Lankan","[object Object]"
"13","في الهواء الطلق","Québécois","[object Object]"
"14","كتب","Chinese","[object Object]"
"15","بقالة","Kurdish","[object Object]"
"16","كتب","British","[object Object]"
"17","أطفال","English","[object Object]"
"18","إلكترونيات","Mordovian","[object Object]"
"19","حواسيب","Irish","[object Object]"
"20","أحذية","Greek","[object Object]"
"21","في الهواء الطلق","Nepalese","[object Object]"
